BreedName,BreedGroup
American Akita,Northern Breed
American Eskimo Dog,Northern Breed
Canadian Eskimo Dog,Northern Breed
Chinook,Northern Breed
Chow Chow,Northern Breed
East Siberian Laika,Northern Breed
Eurasier,Northern Breed
Finnish Lapphund,Northern Breed
Finnish Spitz,Northern Breed
German Spitz,Northern Breed
Greenland Dog,Northern Breed
Hokkaido,Northern Breed
Swedish Elkhound,Northern Breed
Japanese Spitz,Northern Breed
Jindo,Northern Breed
Kai Ken,Northern Breed
Karelian Bear Dog,Northern Breed
Keeshond,Northern Breed
Kishu Ken,Northern Breed
Norrbottenspets,Northern Breed
Norwegian Buhund,Northern Breed
Norwegian Elkhound,Northern Breed
Norwegian Lundehund,Northern Breed
Russo-European Laika,Northern Breed
Samoyed,Northern Breed
Shar Pei,Northern Breed
Shiba Inu,Northern Breed
Shikoku,Northern Breed
Siberian Husky,Northern Breed
Swedish Lapphund,Northern Breed
Volpino Italiano,Northern Breed
West Siberian Laika,Northern Breed
Alpine Dachsbracke,Scenthound
American English Coonhound,Scenthound
American Foxhound,Scenthound
Anglo-Français de Petite Vénerie,Scenthound
Ariegeois,Scenthound
Artois Hound,Scenthound
Austrian Black and Tan Hound,Scenthound
Basset Artésien Normand,Scenthound
Basset Bleu de Gascogne,Scenthound
Basset Fauve de Bretagne,Scenthound
Grand Basset Griffon Vendéen,Scenthound
Petit Basset Griffon Vendéen,Scenthound
Basset Hound,Scenthound
Bavarian Mountain Hound,Scenthound
Beagle,Scenthound
Beagle-Harrier,Scenthound
Billy,Scenthound
Black and Tan Coonhound,Scenthound
Black Mouth Cur,Scenthound
Petit Bleu de Gascogne,Scenthound
Bloodhound,Scenthound
Bluetick Coonhound,Scenthound
Bosnian Coarse-haired Hound,Scenthound
Briquet Griffon Vendéen,Scenthound
Chien Français Blanc et Noir,Scenthound
Chien Français Blanc et Orange,Scenthound
Chien Français Tricolore,Scenthound
Dachshund,Scenthound
Deutsche Bracke,Scenthound
Drever,Scenthound
Dunker,Scenthound
English Foxhound,Scenthound
Finnish Hound,Scenthound
Grand Anglo-Français Blanc et Noir,Scenthound
Grand Anglo-Français Blanc et Orange,Scenthound
Grand Anglo-Français Tricolore,Scenthound
Grand Bleu de Gascogne,Scenthound
Grand Griffon Vendéen,Scenthound
Greek Harehound,Scenthound
Griffon Bleu de Gascogne,Scenthound
Griffon Fauve de Bretagne,Scenthound
Griffon Nivernais,Scenthound
Hamiltonstövare,Scenthound
Hanover Hound,Scenthound
Harrier,Scenthound
Hygen Hound,Scenthound
Istrian Coarse-haired Hound,Scenthound
Istrian Short-haired Hound,Scenthound
Montenegrin Mountain Hound,Scenthound
Mountain Cur,Scenthound
Otterhound,Scenthound
Plott Hound,Scenthound
Poitevin,Scenthound
Polish Hound,Scenthound
Porcelaine,Scenthound
Posavac Hound,Scenthound
Redbone Coonhound,Scenthound
Sabueso Español,Scenthound
Schillerstövare,Scenthound
Schweizer Laufhund,Scenthound
Schweizerischer Niederlaufhund,Scenthound
Segugio Italiano,Scenthound
Serbian Hound,Scenthound
Serbian Tricolour Hound,Scenthound
Slovenský kopov,Scenthound
Smålandsstövare,Scenthound
Stephens Cur,Scenthound
Styrian Coarse-haired Hound,Scenthound
Transylvanian Hound,Scenthound
Treeing Cur,Scenthound
Treeing Tennessee Brindle,Scenthound
Treeing Walker Coonhound,Scenthound
Tyrolean Hound,Scenthound
Westphalian Dachsbracke,Scenthound
Gascon Saintongeois,Scenthound
Afghan Hound,Sighthound and Pariah
Azawakh,Sighthound and Pariah
Basenji,Sighthound and Pariah
Borzoi,Sighthound and Pariah
Canaan Dog,Sighthound and Pariah
Carolina Dog,Sighthound and Pariah
Cirneco dell'Etna,Sighthound and Pariah
Galgo Español,Sighthound and Pariah
Greyhound,Sighthound and Pariah
Ibizan Hound,Sighthound and Pariah
Irish Wolfhound,Sighthound and Pariah
Magyar agár,Sighthound and Pariah
Peruvian Inca Orchid,Sighthound and Pariah
Pharaoh Hound,Sighthound and Pariah
Podenco Canario,Sighthound and Pariah
Polish Greyhound,Sighthound and Pariah
Portuguese Podengo,Sighthound and Pariah
Rhodesian Ridgeback,Sighthound and Pariah
Saluki,Sighthound and Pariah
Scottish Deerhound,Sighthound and Pariah
Silken Windhound,Sighthound and Pariah
Sloughi,Sighthound and Pariah
Thai Ridgeback,Sighthound and Pariah
Whippet,Sighthound and Pariah
Xoloitzcuintli,Sighthound and Pariah
Airedale Terrier,Terrier
American Hairless Terrier,Terrier
American Pit Bull Terrier,Terrier
Australian Terrier,Terrier
Austrian Pinscher,Terrier
Bedlington Terrier,Terrier
Border Terrier,Terrier
Bull Terrier,Terrier
Cairn Terrier,Terrier
Cesky Terrier,Terrier
Dandie Dinmont Terrier,Terrier
Danish-Swedish Farmdog,Terrier
Dutch Smoushond,Terrier
Fox Terrier,Terrier
German Pinscher,Terrier
Glen of Imaal Terrier,Terrier
Irish Terrier,Terrier
Jack Russell Terrier,Terrier
Jagdterrier,Terrier
Japanese Terrier,Terrier
Kerry Blue Terrier,Terrier
Lakeland Terrier,Terrier
Manchester Terrier,Terrier
Miniature Bull Terrier,Terrier
Miniature Schnauzer,Terrier
Norfolk Terrier,Terrier
Norwich Terrier,Terrier
Parson Russell Terrier,Terrier
Patterdale Terrier,Terrier
Rat Terrier,Terrier
Scottish Terrier,Terrier
Sealyham Terrier,Terrier
Silky Terrier,Terrier
Skye Terrier,Terrier
Soft-Coated Wheaten Terrier,Terrier
Sporting Lucas Terrier,Terrier
Staffordshire Bull Terrier,Terrier
Teddy Roosevelt Terrier,Terrier
Toy Fox Terrier,Terrier
Toy Manchester Terrier,Terrier
Welsh Terrier,Terrier
West Highland White Terrier,Terrier
American Staffordshire Terrier,Terrier
Russell Terrier,Terrier
